# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.50356 h/Mpc,
# number of wavenumbers equal to 834
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833536805032e+01 
       2.326967407118e-05       1.050301529358e+02 
       3.616373025385e-05       1.608006171675e+02 
       4.913726151694e-05       2.162187384044e+02 
       6.222535674519e-05       2.716139657957e+02 
       7.546398425925e-05       3.272355739204e+02 
       8.889031306114e-05       3.832982885022e+02 
       1.025430482400e-04       4.400009744042e+02 
       1.164627848241e-04       4.975362823174e+02 
       1.306923843984e-04       5.560965311936e+02 
       1.452773788140e-04       6.158777850453e+02 
       1.602664052592e-04       6.770830709026e+02 
       1.757116767896e-04       7.399251925502e+02 
       1.916694920592e-04       8.046291200352e+02 
       2.082007873531e-04       8.714346824377e+02 
       2.253717329846e-04       9.405987598041e+02 
       2.432543744979e-04       1.012397814108e+03 
       2.619273167265e-04       1.087130366951e+03 
       2.814764453069e-04       1.165119493151e+03 
       3.019956754356e-04       1.246715057710e+03 
       3.235877111086e-04       1.332296407649e+03 
       3.463647893982e-04       1.422274188371e+03 
       3.704493731400e-04       1.517092137207e+03 
       3.959747414598e-04       1.617228400198e+03 
       4.230854108700e-04       1.723195525901e+03 
       4.519373007024e-04       1.835539784590e+03 
       4.826975366868e-04       1.954838574590e+03 
       5.155437679602e-04       2.081695703223e+03 
       5.506628596178e-04       2.216734459967e+03 
       5.882488207355e-04       2.360586956793e+03 
       6.284998437510e-04       2.513881284261e+03 
       6.716143729589e-04       2.677223473560e+03 
       7.177861941321e-04       2.851177824001e+03 
       7.671986460617e-04       3.036243049060e+03 
       8.200181922824e-04       3.232827991221e+03 
       8.763877404929e-04       3.441225724319e+03 
       9.364202297721e-04       3.661592358362e+03 
       1.000193085873e-03       3.893927962707e+03 
       1.067744139097e-03       4.138065380955e+03 
       1.139069488995e-03       4.393668096561e+03 
       1.214123592691e-03       4.660235763989e+03 
       1.292821585146e-03       4.937121083474e+03 
       1.375043566260e-03       5.223531384335e+03 
       1.460640369998e-03       5.518594823434e+03 
       1.549440206739e-03       5.821393847902e+03 
       1.641255555047e-03       6.130955816738e+03 
       1.735889757970e-03       6.446298156277e+03 
       1.833142917693e-03       6.766452835012e+03 
       1.932816842085e-03       7.090485196139e+03 
